X0,X1,X2,X3,Y0,Y1,Y2,Y3,U0,U1,U2,U3
3.313526511192321777e-03,2.085603624582290649e-01,-3.232382535934448242e-01,-3.056967854499816895e-01,-2.520531415939331055e+00,-1.682187557220458984e+00,2.682577848434448242e+00,-2.589450597763061523e+00,-2.402453337942036971e+00,-1.438817932262175914e+00,3.099174726500677046e+00,-3.501502987656678556e+00
-4.391372203826904297e-05,2.088428139686584473e-01,-3.233489990234375000e-01,-3.063625991344451904e-01,-2.524141311645507812e+00,-1.698320508003234863e+00,2.695781707763671875e+00,-2.592585325241088867e+00,-2.402400741400467776e+00,-1.463962338939517327e+00,3.116138870720016829e+00,-3.487135328652214206e+00
-3.358423709869384766e-03,2.091299593448638916e-01,-3.234241902828216553e-01,-3.069915771484375000e-01,-2.527575969696044922e+00,-1.714125156402587891e+00,2.708610296249389648e+00,-2.595446348190307617e+00,-2.402349142460136644e+00,-1.488698755790618833e+00,3.132538850389835705e+00,-3.472700400670567511e+00
-6.629884243011474609e-03,2.094214409589767456e-01,-3.234644234180450439e-01,-3.075844347476959229e-01,-2.530837535858154297e+00,-1.729601144790649414e+00,2.721066236495971680e+00,-2.598037719726562500e+00,-2.402298556068833690e+00,-1.513025426652119476e+00,3.148382310610812418e+00,-3.458200485433562399e+00
-9.858369827270507812e-03,2.097172141075134277e-01,-3.234708309173583984e-01,-3.081413507461547852e-01,-2.533928394317626953e+00,-1.744753003120422363e+00,2.733152866363525391e+00,-2.600364923477172852e+00,-2.402248987104265598e+00,-1.536942351642655025e+00,3.163677496674844658e+00,-3.443637793700892402e+00
-1.304405927658081055e-02,2.100166827440261841e-01,-3.234443366527557373e-01,-3.086624741554260254e-01,-2.536847114562988281e+00,-1.759583950042724609e+00,2.744870662689208984e+00,-2.602430582046508789e+00,-2.402200440294777195e+00,-1.560448961456163852e+00,3.178432261230828004e+00,-3.429014522917848140e+00
-1.618690788745880127e-02,2.103198170661926270e-01,-3.233856856822967529e-01,-3.091485798358917236e-01,-2.539597511291503906e+00,-1.774095296859741211e+00,2.756224632263183594e+00,-2.604239940643310547e+00,-2.402152917432673007e+00,-1.583544820223985905e+00,3.192654372760141968e+00,-3.414332839936883968e+00
-1.928699016571044922e-02,2.106260657310485840e-01,-3.232960104942321777e-01,-3.095995187759399414e-01,-2.542178630828857422e+00,-1.788291454315185547e+00,2.767215013504028320e+00,-2.605796575546264648e+00,-2.402106417626218793e+00,-1.606229612592700029e+00,3.206351516466498186e+00,-3.399594881449214068e+00
-2.234438061714172363e-02,2.109354436397552490e-01,-3.231755793094635010e-01,-3.100160062313079834e-01,-2.544592857360839844e+00,-1.802171468734741211e+00,2.777844905853271484e+00,-2.607103586196899414e+00,-2.402060937536886431e+00,-1.628503130785392772e+00,3.219531295165675377e+00,-3.384802754416393000e+00
-2.535913884639739990e-02,2.112474143505096436e-01,-3.230257332324981689e-01,-3.103981614112854004e-01,-2.546840190887451172e+00,-1.815741777420043945e+00,2.788116693496704102e+00,-2.608166217803955078e+00,-2.402016471601616576e+00,-1.650365261647840809e+00,3.232201230175277828e+00,-3.369958536501911350e+00
-2.833133935928344727e-02,2.115621417760848999e-01,-3.228469192981719971e-01,-3.107463419437408447e-01,-2.548923969268798828e+00,-1.829002618789672852e+00,2.798033237457275391e+00,-2.608987331390380859e+00,-2.401973012239846383e+00,-1.671815973681298972e+00,3.244368762204596912e+00,-3.355064276502778942e+00
-3.126093745231628418e-02,2.118790000677108765e-01,-3.226400613784790039e-01,-3.110612630844116211e-01,-2.550844907760620117e+00,-1.841956138610839844e+00,2.807597875595092773e+00,-2.609572410583496094e+00,-2.401930550045098478e+00,-1.692855304063805244e+00,3.256041252244298523e+00,-3.340121994781116488e+00
-3.414824604988098145e-02,2.121980935335159302e-01,-3.224056363105773926e-01,-3.113428950309753418e-01,-2.552603721618652344e+00,-1.854605913162231445e+00,2.816812038421630859e+00,-2.609923362731933594e+00,-2.401889073960961074e+00,-1.713483345662466961e+00,3.267225982456217093e+00,-3.325133683695742359e+00
-3.699332475662231445e-02,2.125190645456314087e-01,-3.221444487571716309e-01,-3.115918040275573730e-01,-2.554203033447265625e+00,-1.866953849792480469e+00,2.825679540634155273e+00,-2.610044956207275391e+00,-2.401848541103461354e+00,-1.733702682652900506e+00,3.277930026213209391e+00,-3.310101268603361735e+00
-3.979708254337310791e-02,2.128418833017349243e-01,-3.218577206134796143e-01,-3.118078708648681641e-01,-2.555643081665039062e+00,-1.879009842872619629e+00,2.834204912185668945e+00,-2.609942436218261719e+00,-2.401808838491072962e+00,-1.753521718756064329e+00,3.288160071096013937e+00,-3.295026554683849973e+00
-4.255901277065277100e-02,2.131665050983428955e-01,-3.215457499027252197e-01,-3.119917511940002441e-01,-2.556928157806396484e+00,-1.890771627426147461e+00,2.842389822006225586e+00,-2.609618663787841797e+00,-2.401770023152748124e+00,-1.772935139341250910e+00,3.297923462717394116e+00,-3.279911541650162743e+00
-4.527933895587921143e-02,2.134924978017807007e-01,-3.212090730667114258e-01,-3.121438622474670410e-01,-2.558056831359863281e+00,-1.902241230010986328e+00,2.850236415863037109e+00,-2.609076976776123047e+00,-2.401732069442676032e+00,-1.791944181179915718e+00,3.307227121400611480e+00,-3.264758097463159814e+00
-4.795810580253601074e-02,2.138197124004364014e-01,-3.208484351634979248e-01,-3.122646808624267578e-01,-2.559032917022705078e+00,-1.913420915603637695e+00,2.857748985290527344e+00,-2.608321189880371094e+00,-2.401694950155320196e+00,-1.810550188541953709e+00,3.316077887019155845e+00,-3.249568062409275093e+00
-5.059561133384704590e-02,2.141481041908264160e-01,-3.204642534255981445e-01,-3.123543262481689453e-01,-2.559856414794921875e+00,-1.924313306808471680e+00,2.864928722381591797e+00,-2.607354402542114258e+00,-2.401658636650474410e+00,-1.828754605977429337e+00,3.324482519596362096e+00,-3.234343249444629809e+00
-5.319188535213470459e-02,2.144772261381149292e-01,-3.200575709342956543e-01,-3.124133944511413574e-01,-2.560529470443725586e+00,-1.934922218322753906e+00,2.871780395507812500e+00,-2.606181621551513672e+00,-2.401623098968236114e+00,-1.846558971112244762e+00,3.332447699904857785e+00,-3.219085444539155016e+00
-5.574715137481689453e-02,2.148073762655258179e-01,-3.196285367012023926e-01,-3.124423027038574219e-01,-2.561055660247802734e+00,-1.945248603820800781e+00,2.878307104110717773e+00,-2.604806423187255859e+00,-2.401588305933800349e+00,-1.863964907458739884e+00,3.339980030066130201e+00,-3.203796407020710113e+00
-5.826172232627868652e-02,2.151382416486740112e-01,-3.191775679588317871e-01,-3.124411106109619141e-01,-2.561433792114257812e+00,-1.955295443534851074e+00,2.884509801864624023e+00,-2.603229522705078125e+00,-2.401554225252033437e+00,-1.880974117242851795e+00,3.347086034149946876e+00,-3.188477869919200902e+00
-6.073549389839172363e-02,2.154695987701416016e-01,-3.187056183815002441e-01,-3.124105930328369141e-01,-2.561667919158935547e+00,-1.965064644813537598e+00,2.890393733978271484e+00,-2.601457834243774414e+00,-2.401520823591768661e+00,-1.897588374249425280e+00,3.353772158773954182e+00,-3.173131540310703436e+00
-6.316882371902465820e-02,2.158013284206390381e-01,-3.182129561901092529e-01,-3.123509883880615234e-01,-2.561758756637573242e+00,-1.974559307098388672e+00,2.895961761474609375e+00,-2.599493265151977539e+00,-2.401488066659760445e+00,-1.913809516687208001e+00,3.360044773703148913e+00,-3.157759099661576307e+00
-6.556190550327301025e-02,2.161335200071334839e-01,-3.177002072334289551e-01,-3.122627437114715576e-01,-2.561709403991699219e+00,-1.983782052993774414e+00,2.901217460632324219e+00,-2.597340106964111328e+00,-2.401455923056313058e+00,-1.929640232723190962e+00,3.365910281308873930e+00,-3.142362195699737626e+00
-6.791511178016662598e-02,2.164658308029174805e-01,-3.171679973602294922e-01,-3.121459484100341797e-01,-2.561519622802734375e+00,-1.992737293243408203e+00,2.906162977218627930e+00,-2.595001220703125000e+00,-2.401424368973657408e+00,-1.945084841058980052e+00,3.371375225530631958e+00,-3.126942434324634146e+00
-7.022850215435028076e-02,2.167984545230865479e-01,-3.166163563728332520e-01,-3.120015263557434082e-01,-2.561194419860839844e+00,-2.001424312591552734e+00,2.910803318023681641e+00,-2.592479944229125977e+00,-2.401393360568721658e+00,-1.960143630601252518e+00,3.376445515959163757e+00,-3.111501440389865092e+00
-7.250224053859710693e-02,2.171310484409332275e-01,-3.160463571548461914e-01,-3.118295073509216309e-01,-2.560733556747436523e+00,-2.009848594665527344e+00,2.915141344070434570e+00,-2.589781045913696289e+00,-2.401362862500140860e+00,-1.974818897865546319e+00,3.381127258472726105e+00,-3.096040793443156858e+00
